Day of Week,time_period,Total Rides,Average Ride Time
Monday,afternoon,511659,13.930170289196516
Monday,evening,348789,12.630467130557443
Monday,morning,328897,11.52547150019611
Monday,overnight,33683,12.27539114686934
Tuesday,afternoon,521766,13.216365190526021
Tuesday,evening,394690,12.40452000304036
Tuesday,morning,374611,11.025797427197814
Tuesday,overnight,34217,11.103895724347547
Wednesday,afternoon,570531,12.896761087478156
Wednesday,evening,416535,12.224166036467524
Wednesday,morning,425415,10.77965986154696
Wednesday,overnight,38728,11.273058252427184
Thursday,afternoon,534057,13.024079826685167
Thursday,evening,414092,12.682867575321426
Thursday,morning,373085,10.881241540131606
Thursday,overnight,37655,11.49682645067056
Friday,afternoon,573650,13.408245445829339
Friday,evening,357339,13.538267583443172
Friday,morning,354682,11.160997738819562
Friday,overnight,48189,12.188154973126647
Saturday,afternoon,503905,16.73225905676665
Saturday,evening,266686,14.66104707408713
Saturday,morning,219276,13.442109487586421
Saturday,overnight,63961,13.68476102625037
Sunday,afternoon,567906,17.260016622469212
Sunday,evening,266247,14.672281753409429
Sunday,morning,222799,14.154376814976727
Sunday,overnight,59341,13.97489088488566
